607|00000000000|202510
00046456464|2|B0200000001||01|20251004||000000120000|000000021600|000000000000|000000000000|000000000000|000000000000|000000000000
00046456464|2|B0200000002||01|20251005||000000012000|000000002160|000000000000|000000000000|000000000000|000000000000|000000000000
00046456464|2|B0200000003||01|20251005||000000005000|000000000900|000000000000|000000000000|000000000000|000000000000|000000000000
00000000000|2|B0200000004||01|20251005||000000060000|000000010800|000000000000|000000000000|000000000000|000000000000|000000000000
00546464519|2|B0200000005||01|20251005||000000020000|000000003600|000000000000|000000000000|000000000000|000000000000|000000000000
00546464519|2|B0200000006||01|20251005||000000010000|000000001800|000000000000|000000000000|000000000000|000000000000|000000000000
00000000000|2|B0200000009||01|20251006||000000020000|000000003600|000000000000|000000000000|000000000000|000000000000|000000000000
00000000000|2|B0200000011||01|20251007||000000024000|000000004320|000000000000|000000000000|000000000000|000000000000|000000000000
00000000000|2|B0200000012||01|20251007||000000020000|000000003600|000000000000|000000000000|000000000000|000000000000|000000000000
00046456464|2|B1400000001||01|20251007||000000010000|000000001800|000000000000|000000000000|000000000000|000000000000|000000000000
00546464519|2|B0100000001||01|20251008||000000010000|000000001800|000000000000|000000000000|000000000000|000000000000|000000000000
00546464519|2|B0200000014||01|20251009||000000060000|000000010800|000000000000|000000000000|000000000000|000000000000|000000000000
